Date,Item,Payer,Amount,Currency,Beneficiaries
2025-12-11 01:37,123,司機,700.0,TWD,"司機,P3"
2025-12-11 01:38,456,P3,140.0,JPY,"司機,P3"
2025-12-11 01:46,食米,司機,888.0,JPY,"司機,P3,678"
2025-12-11 01:46,W,678,13467.0,TWD,"司機,P3,678"
2025-12-11 01:49,R,678,10000.0,TWD,"P3,司機"
2025-12-11 01:50,飯錢,測試人員,3500.0,TWD,"司機,678,測試人員"
2025-12-11 01:51,P,測試人員,6000.0,TWD,"司機,P3,678"
2025-12-11 06:31,飯錢,測試人員2,2500.0,JPY,"司機,P3,678,測試人員2"
2025-12-11 07:03,燒肉,司機,500.0,TWD,"司機,P3,678,測試人員,測試人員2"
2025-12-15 03:19,還款: P3 -> 678,P3,3490.66,TWD,司機
2025-12-15 03:21,11/15午餐,司機,1000.0,TWD,"678,P3,司機,測試人員,測試人員2"
2025-12-15 03:27,還款: P3 -> 司機,P3,200.0,TWD,司機
2025-12-15 14:41,肯德基,P3,500.0,JPY,"678,P3,司機,測試人員,測試人員2"
